ダウンロード実行日,2026年08月08日現在,件数,6369件
ファンドコード,証券コード,ファンド名,ファンド名（ヨミ）,特定有価証券区分名,特定期1,特定期2,ＥＤＩＮＥＴコード,発行者名
"G11561","","コクサイ－ＭＵＧＣトラスト－ウィントン・パフォーマンス連動ボンドプラスファンド１６－０３（豪ドル建）","コクサイエムユージーシートラストウィントンパフォーマンスレンドウボンドプラスファンドイチロクゼロサンゴウドルダテ","外国投資信託受益証券","8月末日","","E15174","ルクセンブルク三菱ＵＦＪインベスターサービス銀行Ｓ．Ａ．"
"G11565","","堅実バランスファンド－ハジメの一歩－","ケンジツバランスファンドハジメノイッポ","内国投資信託受益証券","5月8日","","E06748","大和アセットマネジメント株式会社"
"G11569","","野村ターゲットデートファンド２０１６　２０２６－２０２８年目標型、野村ターゲットデートファンド２０１６　２０２９－２０３１年目標型、野村ターゲットデートファンド２０１６　２０３２－２０３４年目標型、野村ターゲットデートファンド２０１６　２０３５－２０３７年目標型","ノムラターゲットデートファンドニセンジュウロクニセンニジュウロクニセンニジュウハチネンモクヒョウガタ　ノムラターゲットデートファンドニセンジュウロクニセンニジュウクニセンサンジュウイチネンモクヒョウガタ　ノムラターゲットデートファンドニセンジュウロクニセンサンジュウニニセンサンジュウヨネンモクヒョウガタ　ノムラターゲットデートファンドドニセンジュウロクニセンサンジュウゴニセンサンジュウナナネンモクヒョウガタ","内国投資信託受益証券","12月26日","","E12460","野村アセットマネジメント株式会社"
"G11570","","北海道未来の夢創生ファンド","ホッカイドウミライノユメソウセイファンド","内国投資信託受益証券","3月24日","","E06748","大和アセットマネジメント株式会社"
"G11571","","ダイワ日本国債１５‐２０年ラダー型ファンド　－ＳＬトレード－、ダイワ日本国債１５‐２０年ラダー型ファンド・マネーポートフォリオ　－ＳＬトレード－","ダイワニホンコクサイジュウゴカラニジュウネンラダーガタファンドエスエルトレードダイワニホンコクサイジュウゴカラニジュウネンラダーガタファンドマネーポートフォリオエスエルトレード","内国投資信託受益証券","2月10日","8月10日","E06748","大和アセットマネジメント株式会社"
"G11578","","米国連続増配成長株オープン（３ヵ月決算型）","ベイコクレンゾクゾウハイセイチョウカブオープンサンカゲツケッサンガタ","内国投資信託受益証券","3月26日","9月26日","E12441","ＳＢＩ岡三アセットマネジメント株式会社"
"G11581","","ニッセイＪＰＸ日経４００アクティブファンド（資産成長型）","ニッセイジェイピーエックスニッケイヨンヒャクアクティブファンドシサンセイチョウガタ","内国投資信託受益証券","1月25日","","E12453","ニッセイアセットマネジメント株式会社"
"G11582","","テキサス州株式ファンド","テキサスシュウカブシキファンド","内国投資信託受益証券","3月25日","9月25日","E26704","カレラアセットマネジメント株式会社"
"G11583","","ＧＳ米国成長株集中投資ファンド　年２回決算コース","ジーエスベイコクセイチョウカブシュウチュウトウシファンド　ネンニカイケッサンコース","内国投資信託受益証券","2月10日","8月10日","E12457","ゴールドマン・サックス・アセット・マネジメント株式会社"
"G11585","","オーストラリアＲＥＩＴ・リサーチ・オープン（年２回決算型）","オーストラリア　リート　リサーチ　オープン　ネンニカイケッサンガタ","内国投資信託受益証券","1月14日","7月14日","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G11590","","ダイワ住宅金融支援機構債ファンド　－Ｍｒ．フラット－","ダイワジュウタクキンユウシエンキコウサイファンドミスターフラット","内国投資信託受益証券","3月10日","9月10日","E06748","大和アセットマネジメント株式会社"
"G11591","","ダイワ米国リート・プラス（毎月分配型）：為替ヘッジあり、為替ヘッジなし","ダイワベイコクリートプラスマイツキブンパイガタカワセヘッジアリカワセヘッジナシ","内国投資信託受益証券","2月26日","8月26日","E06748","大和アセットマネジメント株式会社"
"G11592","","ダイワ米国リート・プラス（年２回決算型）：為替ヘッジあり、為替ヘッジなし","ダイワベイコクリートプラスネンニカイケッサンガタカワセヘッジアリカワセヘッジナシ","内国投資信託受益証券","2月26日","8月26日","E06748","大和アセットマネジメント株式会社"
"G11597","","インベスコ　新興国社債ファンド","インベスコ　シンコウコクシャサイファンド","内国投資信託受益証券","1月18日","7月18日","E06479","インベスコ・アセット・マネジメント株式会社"
"G11599","","たわらノーロードｐｌｕｓ　新興国株式低ボラティリティ高配当戦略","タワラノーロードプラス　シンコウコクカブシキテイボラティリティコウハイトウセンリャク","内国投資信託受益証券","12月16日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G11600","","たわらノーロードｐｌｕｓ　国内株式高配当最小分散戦略","タワラノーロードプラスコクナイカブシキコウハイトウサイショウブンサンセンリャク","内国投資信託受益証券","12月16日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G11601","","たわらノーロード　新興国株式","タワラノーロード　シンコウコクカブシキ","内国投資信託受益証券","10月12日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G11605","","ダイワ・ノーロード　ＴＯＰＩＸファンド","ダイワノーロードトピックスファンド","内国投資信託受益証券","9月19日","","E06748","大和アセットマネジメント株式会社"
"G11606","","ダイワ・ノーロード　ＪＰＸ日経４００ファンド","ダイワノーロードジェイピーエックスニッケイヨンヒャクファンド","内国投資信託受益証券","3月22日","","E06748","大和アセットマネジメント株式会社"
"G11607","","ダイワ・ノーロード　日本債券ファンド","ダイワノーロードニホンサイケンファンド","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G11608","","ダイワ・ノーロード　外国株式ファンド","ダイワノーロードガイコクカブシキファンド","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G11609","","ダイワ・ノーロード　外国債券ファンド","ダイワノーロードガイコクサイケンファンド","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G11610","","ダイワ・ノーロード　グローバルＲＥＩＴファンド","ダイワノーロードグローバルリートファンド","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G11611","","ダイワ・ノーロード　新興国株式ファンド","ダイワノーロードシンコウコクカブシキファンド","内国投資信託受益証券","7月5日","","E06748","大和アセットマネジメント株式会社"
"G11612","","ダイワ・ノーロード　新興国債券ファンド","ダイワノーロードシンコウコクサイケンファンド","内国投資信託受益証券","7月5日","","E06748","大和アセットマネジメント株式会社"
"G11614","","明治安田ＤＣ先進国コアファンド","メイジヤスダディーシーセンシンコクコアファンド","内国投資信託受益証券","2月21日","","E12448","明治安田アセットマネジメント株式会社"
"G11618","34680","スターアジア不動産投資法人","スターアジアフドウサントウシホウジン","内国投資証券","1月末日","7月末日","E32253","スターアジア不動産投資法人"
"G11619","","ロボ・ジャパン（円投資型）、ロボ・ジャパン（米ドル投資型）","ロボジャパンエントウシガタ　ロボジャパンベイドルトウシガタ","内国投資信託受益証券","3月23日","9月23日","E12460","野村アセットマネジメント株式会社"
"G11626","","ＳＢＩ中小型割安成長株ファンド　ジェイリバイブ＜ＤＣ年金＞","エスビーアイチュウコガタワリヤスセイチョウカブファンドジェイリバイブ　ディーシーネンキン","内国投資信託受益証券","4月10日","","E13447","ＳＢＩアセットマネジメント株式会社"
"G11629","","グローバル株式トップフォーカス","グローバルカブシキトップフォーカス","内国投資信託受益証券","3月15日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G11634","","ｅＭＡＸＩＳ　最適化バランス（マイゴールキーパー）／（マイディフェンダー）／（マイミッドフィルダー）／（マイフォワード）／（マイストライカー）","イーマクシスサイテキカバランスマイゴールキーパーマイディフェンダーマイミッドフィルダーマイフォワードマイストライカー","内国投資信託受益証券","1月26日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G11635","","インベスコ　世界インカム資産ファンド（毎月決算型）","インベスコセカイインカムシサンファンドマイツキケッサンガタ","内国投資信託受益証券","3月18日","9月18日","E06479","インベスコ・アセット・マネジメント株式会社"
"G11639","","ＤＣダイワ・マネー・ポートフォリオ","ディーシーダイワマネーポートフォリオ","内国投資信託受益証券","3月31日","","E06748","大和アセットマネジメント株式会社"
"G11641","","ダイワ・アジアリート・ファンド（年１回決算型）","ダイワアジアリートファンドネンイッカイケッサンガタ","内国投資信託受益証券","3月14日","","E06748","大和アセットマネジメント株式会社"
"G11645","","先進国資産配分コントロールファンド＜安定型＞／先進国資産配分コントロールファンド＜成長型＞","センシンコクシサンハイブンコントロールファンドアンテイガタ　センシンコクシサンハイブンコントロールファンドセイチョウガタ","内国投資信託受益証券","4月23日","","E26491","中銀アセットマネジメント株式会社"
"G11647","","米国地方債ファンド　為替ヘッジあり（毎月決算型）　米国地方債ファンド　為替ヘッジなし（毎月決算型）","ベイコクチホウサイファンド　カワセヘッジアリ　マイツキケッサンガタ　ベイコクチホウサイファンド　カワセヘッジナシ　マイツキケッサンガタ","内国投資信託受益証券","2月25日","8月25日","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G11648","","米国地方債ファンド　為替ヘッジあり（年２回決算型）　米国地方債ファンド　為替ヘッジなし（年２回決算型）","ベイコクチホウサイファンド　カワセヘッジアリ　ネンニカイケッサンガタ　ベイコクチホウサイファンド　カワセヘッジナシ　ネンニカイケッサンガタ","内国投資信託受益証券","2月25日","8月25日","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G11649","","新ホリコ・フォーカス・ファンド","シンホリコフォーカスファンド","内国投資信託受益証券","3月15日","","E15787","楽天投信投資顧問株式会社"
"G11651","","世界分散投資戦略ファンド","セカイブンサントウシセンリャクファンド","内国投資信託受益証券","1月21日","7月21日","E12460","野村アセットマネジメント株式会社"
"G11652","","フィリピン株式ファンド","フィリピンカブシキファンド","内国投資信託受益証券","4月25日","10月25日","E26704","カレラアセットマネジメント株式会社"
"G11653","","タカラレーベン・インフラ投資法人","タカラレーベンインフラトウシホウジン","内国投資証券","5月末日","11月末日","E32280","タカラレーベン・インフラ投資法人"
"G11659","","ｉＳＴＯＸＸ　ＭＵＴＢ　ＪＡＰＡＮ　クオリティ１５０インデックスファンド（ラップ向け）","アイストックスエムユーティービージャパンクオリティヒャクゴジュウインデックスファンドラップムケ","内国投資信託受益証券","1月26日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G11660","","マッコーリー　グローバル・インフラ株式ファンド（ラップ向け）","マッコーリーグローバルインフラカブシキファンドラップムケ","内国投資信託受益証券","3月15日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G11661","","キャピタル世界株式ファンド（ＤＣ年金つみたて専用）","キャピタルセカイカブシキファンドディーシーネンキンツミタテセンヨウ","内国投資信託受益証券","8月20日","","E14703","キャピタル・インターナショナル株式会社"
"G11665","","野村ＰＩＭＣＯ・世界インカム戦略ファンド　Ａコース、野村ＰＩＭＣＯ・世界インカム戦略ファンド　Ｂコース、野村ＰＩＭＣＯ・世界インカム戦略ファンド　Ｃコース、野村ＰＩＭＣＯ・世界インカム戦略ファンド　Ｄコース","ノムラピムコセカイインカムセンリャクファンドエーコース　ノムラピムコセカイインカムセンリャクファンドビーコース　ノムラピムコセカイインカムセンリャクファンドシーコース　ノムラピムコセカイインカムセンリャクファンドディーコース","内国投資信託受益証券","4月16日","10月16日","E12460","野村アセットマネジメント株式会社"
"G11667","","三井住友・ＤＣ世界バランスファンド（動的配分型）","ミツイスミトモディーシーセカイバランスファンドドウテキハイブンガタ","内国投資信託受益証券","4月20日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G11675","","インベスコ　アジア成長資産ファンド（毎月決算型）","インベスコアジアセイチョウシサンファンドマイツキケッサンガタ","内国投資信託受益証券","4月18日","10月18日","E06479","インベスコ・アセット・マネジメント株式会社"
"G11678","","ピクテＹＥＮアセット・アロケーション・ファンド（毎月分配型）","ピクテエンアセットアロケーションファンドマイツキブンパイガタ","内国投資信託受益証券","5月15日","11月15日","E10439","ピクテ・ジャパン株式会社"
"G11679","","ピクテＹＥＮアセット・アロケーション・ファンド（１年決算型）","ピクテエンアセットアロケーションファンドイチネンケッサンガタ","内国投資信託受益証券","5月15日","","E10439","ピクテ・ジャパン株式会社"
"G11682","","カレラ　日本小型株式ファンド","カレラ　ニホンコガタカブシキファンド","内国投資信託受益証券","5月15日","11月15日","E26704","カレラアセットマネジメント株式会社"
"G11683","","ステート・ストリート新興国株式インデックス・オープン","ステートストリートシンコウコクカブシキインデックスオープン","内国投資信託受益証券","11月15日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G11684","","ステート・ストリート新興国債券インデックス・オープン","ステートストリートシンコウコクサイケンインデックスオープン","内国投資信託受益証券","4月15日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G11685","","ステート・ストリート先進国株式インデックス・オープン（為替ヘッジあり）","ステートストリートセンシンコクカブシキインデックスオープンカワセヘッジアリ","内国投資信託受益証券","11月末日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G11686","","ステート・ストリート先進国株式インデックス・オープン","ステートストリートセンシンコクカブシキインデックスオープン","内国投資信託受益証券","11月末日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G11687","","ステート・ストリート先進国債券インデックス・オープン（為替ヘッジあり）","ステートストリートセンシンコクサイケンインデックスオープンカワセヘッジアリ","内国投資信託受益証券","2月20日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G11688","","ステート・ストリート先進国債券インデックス・オープン","ステートストリートセンシンコクサイケンインデックスオープン","内国投資信託受益証券","2月20日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G11689","","ステート・ストリート日本株式インデックス・オープン","ステートストリートニホンカブシキインデックスオープン","内国投資信託受益証券","3月5日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G11690","","ステート・ストリート日本債券インデックス・オープン","ステートストリートニホンサイケンインデックスオープン","内国投資信託受益証券","3月5日","","E12963","ステート・ストリート・グローバル・アドバイザーズ株式会社"
"G11692","","ＤＣりそな　グローバルバランス","ディシーリソナ　グローバルバランス","内国投資信託受益証券","1月25日","","E32011","りそなアセットマネジメント株式会社"
"G11693","14820","ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）","アイシェアーズ　コア　ベイコクサイナナ　ジュウネン　イーティーエフ　カワセヘッジアリ","内国投資信託受益証券","1月11日","7月11日","E09096","ブラックロック・ジャパン株式会社"
"G11694","","イーストスプリングＵＳ投資適格債ファンド・為替ヘッジ付（年２回決算型）","イーストスプリングユーエストウシテキカクサイファンドカワセヘッジツキネンニカイケッサンガタ","内国投資信託受益証券","4月21日","10月21日","E12566","イーストスプリング・インベストメンツ株式会社"
"G11695","","成長応援日本株ファンド","セイチョウオウエンニホンカブファンド","内国投資信託受益証券","4月25日","10月25日","E12448","明治安田アセットマネジメント株式会社"
"G11697","","ＤＣダイワ・ターゲットイヤー２０５０","ディーシーダイワターゲットイヤーニセンゴジュウ","内国投資信託受益証券","12月18日","","E06748","大和アセットマネジメント株式会社"
"G11698","14790","ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数","アイフリーイーティーエフエムエスシーアイニホンカブジンザイセツビトウシシスウ","内国投資信託受益証券","1月10日","7月10日","E06748","大和アセットマネジメント株式会社"
"G11699","","ＵＢＳ（Ｌｕｘ）マネー・マーケット・ファンド－米ドル","ユービーエスルクスマネーマーケットファンドベイドル","外国投資信託受益証券","10月末日","","E14900","ＵＢＳアセット・マネジメント（ヨーロッパ）エス・エイ"
"G11700","14810","上場インデックスファンド日本経済貢献株","ジョウジョウインデックスファンドニホンケイザイコウケンカブ","内国投資信託受益証券","1月8日","7月8日","E12430","アモーヴァ・アセットマネジメント株式会社"
"G11701","14800","ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信","ネクストファンズノムラキギョウカチブンパイシスウレンドウガタジョウジョウトウシン","内国投資信託受益証券","4月20日","10月20日","E12460","野村アセットマネジメント株式会社"
"G11703","","ラッセル・インベストメント外国株式ファンド","ラッセルインベストメントガイコクカブシキファンド","内国投資信託受益証券","4月18日","","E12450","ラッセル・インベストメント株式会社"
"G11704","","ＵＢＳ（Ｌｕｘ）ストラテジー・ファンド","ユービーエスルクスストラテジーファンド","外国投資信託受益証券","1月末日","","E14900","ＵＢＳアセット・マネジメント（ヨーロッパ）エス・エイ"
"G11706","","ＵＳ株主還元ファンド（年４回決算型）","ユーエスカブヌシカンゲンファンドネンヨンカイケッサンガタ","内国投資信託受益証券","4月15日","10月15日","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G11707","","ＵＳ株主還元ファンド（年１回決算型）","ユーエスカブヌシカンゲンファンドネンイッカイケッサンガタ","内国投資信託受益証券","4月15日","","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G11708","","マニュライフ・米国銀行株式ファンド","マニュライフベイコクギンコウカブシキファンド","内国投資信託受益証券","1月20日","7月20日","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G11710","","マニュライフ・新グローバル配当株ファンド（年２回決算型）","マニュライフシングローバルハイトウカブファンドネンニカイ","内国投資信託受益証券","2月10日","8月10日","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G11715","","マニュライフ・変動高金利戦略ファンド　Ａコース（為替ヘッジあり・毎月）、マニュライフ・変動高金利戦略ファンド　Ｂコース（為替ヘッジなし・毎月）、マニュライフ・変動高金利戦略ファンド　Ｃコース（為替ヘッジあり・年２回）、マニュライフ・変動高金利戦略ファンド　Ｄコース（為替ヘッジなし・年２回）","マニュライフヘンドウコウキンリセンリャクファンドエイコース　マニュライフヘンドウコウキンリセンリャクファンドビーコース　マニュライフヘンドウコウキンリセンリャクファンドシーコース　マニュライフヘンドウコウキンリセンリャクファンドディーコース","内国投資信託受益証券","3月5日","9月5日","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G11716","","マニュライフ・アジア経済圏・小型成長株ファンド","マニュライフアジアケイザイケンコガタセイチョウカブファンド","内国投資信託受益証券","6月10日","12月10日","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G11717","","マニュライフ・カナダ債券ファンド","マニュライフカナダサイケンファンド","内国投資信託受益証券","2月20日","8月20日","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G11718","","マニュライフ・新グローバル配当株ファンド（毎月分配型）","マニュライフ　シングローバルハイトウカブファンド　マイツキブンパイガタ","内国投資信託受益証券","8月10日","2月10日","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G11719","","マニュライフ・カナダ株式ファンド","マニュライフ　カナダカブシキファンド","内国投資信託受益証券","4月15日","10月15日","E30703","マニュライフ・インベストメント・マネジメント株式会社"
"G11720","","マクロ・トータル・リターン・ファンド","マクロトータルリターンファンド","内国投資信託受益証券","6月3日","12月3日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G11721","","ＧＳフォーカス・イールド・ボンド　毎月決算コース／年２回決算コース","ジーエスフォーカスイールドボンド　マイツキケッサンコース　ネンニカイケッサンコース","内国投資信託受益証券","5月25日","11月25日","E12457","ゴールドマン・サックス・アセット・マネジメント株式会社"
"G11722","","先進国資本エマージング株式ファンド（１年決算型）","センシンコクシホンエマージングカブシキファンド　イチネンケッサンガタ","内国投資信託受益証券","6月21日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G11723","","先進国資本エマージング株式ファンド（年２回決算型）","センシンコクシホンエマージングカブシキファンド　ネンニカイケッサンガタ","内国投資信託受益証券","6月21日","12月21日","E12430","アモーヴァ・アセットマネジメント株式会社"
"G11726","","米国国債ファンド　為替ヘッジあり（毎月決算型）","ベイコクコクサイファンドカワセヘッジアリマイツキケッサンガタ","内国投資信託受益証券","3月26日","9月26日","E06748","大和アセットマネジメント株式会社"
"G11727","","リビング・アース戦略ファンド（年２回決算コース）","リビングアースセンリャクファンドネンニカイケッサンコース","内国投資信託受益証券","6月15日","12月15日","E11764","Ｔ＆Ｄアセットマネジメント株式会社"
"G11728","","リビング・アース戦略ファンド（年４回決算コース）","リビングアースセンリャクファンドネンヨンカイケッサンコース","内国投資信託受益証券","6月15日","12月15日","E11764","Ｔ＆Ｄアセットマネジメント株式会社"
"G11729","","ＳＢＩ－ＰＩＭＣＯ　ジャパン・ベターインカム・ファンド","エスビーアイピムコジャパンベターインカムファンド","内国投資信託受益証券","6月29日","","E13447","ＳＢＩアセットマネジメント株式会社"
"G11731","14830","ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資　ＥＴＦ","アイシェアーズジェイピーエックスエスアンドピーセツビジンザイトウシイーティーエフ","内国投資信託受益証券","2月9日","8月9日","E09096","ブラックロック・ジャパン株式会社"
"G11732","","インベスコ　ジャパン成長株・夢ファンド","インベスコジャパンセイチョウカブユメファンド","内国投資信託受益証券","4月27日","","E06479","インベスコ・アセット・マネジメント株式会社"
"G11734","","日本株ロングショート戦略ファンド","ニホンカブロングショートセンリャクファンド","内国投資信託受益証券","4月25日","10月25日","E27917","ファイブスター投信投資顧問株式会社"
"G11735","","いちよし中小型成長株ファンド","イチヨシチュウショウガタセイチョウカブファンド","内国投資信託受益証券","6月29日","","E30994","いちよしアセットマネジメント株式会社"
"G11738","","野村ＳＴＦ（ショートターム・ファンド）","ノムラエスティーエフショートタームファンド","内国投資信託受益証券","3月26日","","E12460","野村アセットマネジメント株式会社"
"G11739","","フィデリティ・新興国厳選株ファンドＡコース（米ドル売り円買い）　フィデリティ・新興国厳選株ファンドＢコース（為替ヘッジなし）","フィデリティシンコウコクゲンセンカブファンドエーコースベイドルウリエンガイ　フィデリティシンコウコクゲンセンカブファンドビーコースカワセヘッジナシ","内国投資信託受益証券","6月20日","","E12481","フィデリティ投信株式会社"
"G11740","14840","Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数","ワンイーティーエフジェイピーエックスエスアンドピーセツビジンザイトウシシスウ","内国投資信託受益証券","1月8日","7月8日","E10677","アセットマネジメントＯｎｅ株式会社"
"G11741","","ＹＭアセット・バランスファンド（安定タイプ）／（成長タイプ）","ワイエムアセットバランスファンドアンテイタイプセイチョウタイプ","内国投資信託受益証券","6月23日","","E32437","ワイエムアセットマネジメント株式会社"
"G11742","","ＭＳＣＩジャパン高配当利回りインデックス・ファンド（毎月決算型）","エムエスシーアイコウハイトウリマワリインデックスファンド　マイツキケッサンガタ","内国投資信託受益証券","3月5日","9月5日","E12473","ＵＢＳアセット・マネジメント株式会社"
"G11744","","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ａコース）","エムエスブイナイガイエーティーエフシサンハイブンファンドエーコース","内国投資信託受益証券","5月25日","11月25日","E32444","マネックス・アセットマネジメント株式会社"
"G11745","","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ｂコース）","エムエスブイナイガイエーティーエフシサンハイブンファンドビーコース","内国投資信託受益証券","5月25日","11月25日","E32444","マネックス・アセットマネジメント株式会社"
"G11746","","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ｃコース）","エムエスブイナイガイエーティーエフシサンハイブンファンドシーコース","内国投資信託受益証券","5月25日","11月25日","E32444","マネックス・アセットマネジメント株式会社"
"G11747","","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ｄコース）","エムエスブイナイガイエーティーエフシサンハイブンファンドディーコース","内国投資信託受益証券","5月25日","11月25日","E32444","マネックス・アセットマネジメント株式会社"
"G11748","","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ｅコース）","エムエスブイナイガイエーティーエフシサンハイブンファンドイーコース","内国投資信託受益証券","3月25日","9月25日","E32444","マネックス・アセットマネジメント株式会社"
"G11749","","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ｆコース）","エムエスブイナイガイエーティーエフシサンハイブンファンドエフコース","内国投資信託受益証券","3月25日","9月25日","E32444","マネックス・アセットマネジメント株式会社"
"G11750","","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ｇコース）","エムエスブイナイガイエーティーエフシサンハイブンファンドジーコース","内国投資信託受益証券","3月25日","9月25日","E32444","マネックス・アセットマネジメント株式会社"
"G11751","","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ｈコース）","エムエスブイナイガイエーティーエフシサンハイブンファンドエイチコース","内国投資信託受益証券","3月25日","9月25日","E32444","マネックス・アセットマネジメント株式会社"
"G11752","","野村継続増配日本株","ノムラケイゾクゾウハイニホンカブ","内国投資信託受益証券","1月12日","7月12日","E12460","野村アセットマネジメント株式会社"
"G11754","","日本金融ハイブリッド証券オープン（年１回決算型）　円ヘッジありコース　日本金融ハイブリッド証券オープン（年１回決算型）　円ヘッジなしコース","ニホンキンユウハイブリッドショウケンオープンネンイッカイケッサンガタ　エンヘッジアリコース　ニホンキンユウハイブリッドショウケンオープンネンイッカイケッサンガタ　エンヘッジナシコース","内国投資信託受益証券","6月14日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G11755","34700","マリモ地方創生リート投資法人","マリモチホウソウセイリートトウシホウジン","内国投資証券","6月末日","12月末日","E32350","マリモ地方創生リート投資法人"
"G11757","","世界コアインフラ株式ファンド","セカイコアインフラカブシキファンド","内国投資信託受益証券","6月15日","12月15日","E10677","アセットマネジメントＯｎｅ株式会社"
"G11758","","シュローダー・アジアパシフィックＥＳＧフォーカス・ファンド（資産成長型）","シュローダー　アジアパシフィックイーエスジーフォーカス　ファンド　シサンセイチョウガタ","内国投資信託受益証券","6月20日","","E12586","シュローダー・インベストメント・マネジメント株式会社"
"G11759","","Ｏｎｅニッポン債券オープン","ワンニッポンサイケンオープン","内国投資信託受益証券","6月17日","12月17日","E10677","アセットマネジメントＯｎｅ株式会社"
"G11760","34710","三井不動産ロジスティクスパーク投資法人","ミツイフドウサンロジスティクスパークトウシホウジン","内国投資証券","1月末日","7月末日","E32450","三井不動産ロジスティクスパーク投資法人"
"G11761","","ｉＴｒｕｓｔ日本株式","アイトラストニホンカブシキ","内国投資信託受益証券","7月20日","","E10439","ピクテ・ジャパン株式会社"
"G11764","","たわらノーロード　先進国債券＜ラップ向け＞","タワラノーロード　センシンコクサイケンラップムケ","内国投資信託受益証券","4月21日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G11765","","たわらノーロード　国内リート＜ラップ向け＞","タワラノーロード　コクナイリートラップムケ","内国投資信託受益証券","4月21日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G11766","","たわらノーロード　先進国リート＜ラップ向け＞","タワラノーロード　センシンコクリートラップムケ","内国投資信託受益証券","4月21日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G11767","","あおぞら・先進国中短期公社債ファンド（為替ヘッジあり）","アオゾラセンシンコクチュウタンキコウシャサイファンドカワセヘッジアリ","内国投資信託受益証券","1月10日","7月10日","E30689","あおぞら投信株式会社"
"G11768","","あおぞら・先進国バランス・ファンド（為替ヘッジあり）","アオゾラセンシンコクバランスファンドカワセヘッジアリ","内国投資信託受益証券","1月10日","7月10日","E30689","あおぞら投信株式会社"
"G11769","","あおぞら・グローバル・バランス・ファンド（部分為替ヘッジあり）","アオゾラグローバルバランスファンドブブンカワセヘッジアリ","内国投資信託受益証券","1月10日","7月10日","E30689","あおぞら投信株式会社"
"G11771","","たわらノーロード　新興国株式＜ラップ向け＞","タワラノーロード　シンコウコクカブシキラップムケ","内国投資信託受益証券","4月21日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G11772","","たわらノーロード　先進国株式＜ラップ向け＞","タワラノーロード　センシンコクカブシキラップムケ","内国投資信託受益証券","4月21日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G11776","14850","ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信","マクシスジャパンセツビジンザイセッキョクトウシキギョウニヒャクジョウジョウトウシン","内国投資信託受益証券","1月16日","7月16日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G11783","","インベスコ　米国ハイ・イールド債券ファンド（毎月決算型）","インベスコベイコクハイイールドサイケンファンドマイツキケッサンガタ","内国投資信託受益証券","6月22日","12月22日","E06479","インベスコ・アセット・マネジメント株式会社"
